gid,priority_score,reason,request
100000005578559100,0.76067569,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000003796063100,0.75955456,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008710791100,0.75239235,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004569484100,0.74799283,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002224132100,0.74767667,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000007639767100,0.74255349,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000003880331100,0.74152723,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008512827100,0.74063121,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008304139100,0.73954721,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008743913100,0.73905815,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002723538100,0.73352704,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004150593100,0.72308492,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004847758100,0.71562561,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004188160100,0.71561737,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000003404627100,0.71385662,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005665181100,0.71149913,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008517538100,0.70720756,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000003360542100,0.70418564,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000006274203100,0.70238476,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008465789100,0.69982606,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000001530983100,0.69579364,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002605308100,0.68896205,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008748914100,0.68885237,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000000673868100,0.68786791,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000706545100,0.6849074,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008710843100,0.68036192,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002578405100,0.67914267,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000005242320100,0.67748152,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000005473151100,0.67092269,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005660203100,0.6698863,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008003034100,0.66762532,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002894076100,0.66553742,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004140487100,0.66436861,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002870463100,0.66338521,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000006755850100,0.66187924,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003213473100,0.66044982,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000003163886100,0.65838143,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000007229557100,0.65671814,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002480800100,0.65670525,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002956769100,0.65392872,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002793881100,0.65140582,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001072022100,0.65138783,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005514161100,0.650188,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003270419100,0.64641321,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008473207100,0.64635173,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001714173100,0.64519943,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002975437100,0.64425591,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001904863100,0.64293974,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008427027100,0.64202672,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004539443100,0.63834841,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001611488100,0.63822644,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008556318100,0.63802496,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001875239100,0.63763684,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002443664100,0.63694669,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002369874100,0.6368903,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008332511100,0.63671706,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004160650100,0.63659526,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000001697501100,0.63579773,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004905207100,0.63563946,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001463701100,0.63549814,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002472632100,0.63512048,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002173161100,0.63491036,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008730371100,0.63286433,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003254723100,0.63283975,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000007593823100,0.6323845,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000001527186100,0.63227266,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004105288100,0.63107156,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004666651100,0.63096299,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004737764100,0.63001119,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002939838100,0.62812071,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003834495100,0.62810795,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008576243100,0.62788174,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002603769100,0.62728195,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002635780100,0.62725386,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008335401100,0.62520803,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005778283100,0.62514771,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000291908100,0.62306088,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000089154100,0.62286052,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000006707582100,0.6221536,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002565277100,0.62215022,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001330685100,0.62182226,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005614315100,0.62128383,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002957306100,0.62098512,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000817146100,0.62057861,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002559089100,0.62056741,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000007647294100,0.61971804,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003321423100,0.6193432,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003798151100,0.61832937,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003899899100,0.61791498,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003964910100,0.61734011,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003134934100,0.61731146,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008742053100,0.61697385,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002188829100,0.61665371,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004674799100,0.61588583,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004114962100,0.61581781,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003062895100,0.61394728,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003157679100,0.61301485,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008356606100,0.61299546,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004892144100,0.61262694,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000006564102100,0.61218702,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003131693100,0.61205567,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005241556100,0.61060209,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004679953100,0.61025296,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001141268100,0.61024808,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002335358100,0.61001394,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003111305100,0.60907711,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002087788100,0.60851468,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008746449100,0.60841771,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008555233100,0.60839682,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005664632100,0.60828075,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004603109100,0.60822533,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008708207100,0.60809704,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005432267100,0.60794246,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004226848100,0.60753565,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002593344100,0.60693648,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002710570100,0.60679103,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004997515100,0.60656369,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008566737100,0.60526963,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001690558100,0.60412097,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003221384100,0.6037711,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002945626100,0.60350576,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000594783100,0.60312472,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002459832100,0.60296555,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001680944100,0.60184661,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000552584100,0.60164411,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002705460100,0.60124641,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008775471100,0.60073072,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001609499100,0.60069826,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000533217100,0.6006464,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003171006100,0.6001852,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003191430100,0.60002695,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001937767100,0.59939703,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000003035737100,0.59926215,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000993112100,0.5988319,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004948177100,0.59852667,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001567366100,0.59818103,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002267998100,0.59814291,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002779485100,0.59807108,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002983879100,0.59750253,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004394765100,0.59736317,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002799941100,0.59718201,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000007138613100,0.59701163,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002964966100,0.59687395,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008676812100,0.59648036,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002936322100,0.5961066,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003122817100,0.59592484,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002618492100,0.59590298,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003071930100,0.59569804,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000006972210100,0.5952469,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001162560100,0.59479627,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000005061890100,0.59460474,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004664905100,0.59451466,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008748408100,0.59388457,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004689658100,0.59373584,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000006225798100,0.59364281,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008531186100,0.59336914,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001884825100,0.59326062,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002175422100,0.59320089,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008221543100,0.59278263,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001584286100,0.59276772,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004186824100,0.5927537,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005409156100,0.59261474,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002826669100,0.59242782,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005628518100,0.59176777,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001538095100,0.59171771,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001534244100,0.59160571,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000569479100,0.59158518,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000795129100,0.59088412,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003920950100,0.59083813,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003097324100,0.5903569,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003104347100,0.58899186,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000007181706100,0.58859297,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000007777377100,0.58840949,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002645609100,0.58828276,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005074393100,0.58795674,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000007617808100,0.58779079,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002633108100,0.58764835,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005904580100,0.58730765,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002621949100,0.58725369,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005974542100,0.5870384,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002679516100,0.58686382,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002736316100,0.58678152,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002956898100,0.58669967,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004816564100,0.58644249,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000041368100,0.58618525,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001241318100,0.58577032,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001927599100,0.58576156,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008094734100,0.58555592,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001924185100,0.5855426,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001285440100,0.58517865,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004417753100,0.58511199,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003366471100,0.58489256,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002539625100,0.58476386,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001169666100,0.58455972,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003158727100,0.58445635,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003060517100,0.5840956,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003192220100,0.58369386,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003831324100,0.58332154,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005314565100,0.58282423,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008223756100,0.58266555,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003050771100,0.58250921,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002815005100,0.58233633,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008751380100,0.58192366,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008174521100,0.58178112,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002691583100,0.58122214,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003014659100,0.58121663,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000917179100,0.58109543,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002605184100,0.58078796,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002947299100,0.5806228,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008352542100,0.58062114,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003205210100,0.58006978,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000006209210100,0.57997933,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002605548100,0.57973491,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005022552100,0.57961536,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001875167100,0.57943975,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005168487100,0.57941878,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002864256100,0.57938243,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002432143100,0.57923301,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002548759100,0.57807417,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008747113100,0.57800526,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000821507100,0.57799706,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001689968100,0.57796824,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003031003100,0.57790922,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000941942100,0.57753592,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001386612100,0.57745719,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003031633100,0.57714504,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004408683100,0.57699014,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000006977207100,0.57647228,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008659950100,0.57622322,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003022835100,0.57597334,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002769809100,0.57584131,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002596035100,0.57531158,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001184915100,0.57510238,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000000764836100,0.57501194,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000006446271100,0.57462425,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008624978100,0.57438326,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001686328100,0.5742848,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002212494100,0.57415226,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005857058100,0.57383385,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002696152100,0.57381526,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002883402100,0.57316551,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000005844459100,0.57315134,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008536546100,0.57301003,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002632742100,0.57270716,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008714412100,0.57209657,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000003795588100,0.57165809,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000008279405100,0.57098998,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001140785100,0.57003385,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004587414100,0.56971185,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000001674850100,0.56964577,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002720627100,0.56934159,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004388353100,0.56925815,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000004993576100,0.56911798,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002911170100,0.5690062,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
100000002822472100,0.56870089,Не видны внешние выходы,"Наличные, межбанк, переводы ниже 5000 KZT"
